Frame,PSNR_Gaussian,PSNR_Median,MSE_Gaussian,MSE_Median,SSIM_Gaussian,SSIM_Median
0,33.89,30.59,26.56,56.8,0.8737,0.7236
1,35.09,31.36,20.15,47.5,0.9034,0.7651
10,35.38,31.64,18.84,44.6,0.9295,0.8237
11,35.7,31.88,17.52,42.19,0.9339,0.8332
12,34.71,31.18,22.01,49.57,0.9077,0.7862
13,36.12,32.29,15.87,38.35,0.9392,0.8469
14,36.66,32.85,14.04,33.72,0.9451,0.8616
15,36.48,32.88,14.63,33.53,0.9241,0.8201
16,37.28,33.35,12.17,30.03,0.9415,0.8513
17,37.56,33.6,11.41,28.39,0.9474,0.8654
18,35.37,31.8,18.87,42.93,0.9073,0.7837
19,36.92,33.0,13.22,32.6,0.9389,0.8439
2,35.21,31.4,19.61,47.06,0.9107,0.777
20,37.22,33.32,12.32,30.29,0.945,0.8602
21,35.38,31.82,18.84,42.73,0.9131,0.7963
22,36.75,32.87,13.75,33.55,0.9393,0.8462
23,37.02,33.16,12.93,31.41,0.944,0.8594
24,34.4,30.91,23.59,52.68,0.8961,0.7611
25,36.55,32.67,14.39,35.12,0.9365,0.8393
26,36.9,33.06,13.28,32.17,0.9403,0.8496
27,35.49,31.94,18.36,41.64,0.9105,0.7908
28,36.84,32.98,13.45,32.71,0.9409,0.8496
29,36.66,32.8,14.03,34.11,0.9445,0.8592
3,34.68,31.2,22.13,49.33,0.8955,0.7604
30,34.03,30.54,25.69,57.39,0.9004,0.7709
31,35.19,31.45,19.69,46.62,0.9365,0.8407
32,35.36,31.54,18.91,45.57,0.9419,0.8517
33,33.25,29.77,30.8,68.53,0.8983,0.7631
34,34.59,30.82,22.6,53.85,0.9309,0.8238
35,34.85,31.02,21.29,51.41,0.9342,0.8315
